Food_ID,Food name and Description,Alternate/Common name(s),Water (g),"Energy, calculated (kcal)",Protein (g),Total Fat (g),"Carbohydrate, total (g)","Ash, total (g)",Image Link
G195,"Sardine, bombon, smoked","Tawilis, tinapa",58.4,155,31,3.4,0,7.2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/G195.png
G196,"Sardine, fimbriated, fry, dried","Silinyasi, tuyo",40.3,183,40.9,2.1,0,16.7,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaaaa38.jpg
G197,"Sardine, fimbriated, fry, dried","Silinyasi, daing",9.2,343,57.3,12.6,0,20.8,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaaaa39.jpg
G198,"Sardine, fimbriated, smoked","Tabagak, tinapa",58.7,168,31.2,4,1.9,4.2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/G198.png
G199,"Sardine, Indian, dried","Tamban, daing",43.1,160,37.4,1.1,0,18.4,https://i.fnri.dost.gov.ph/assets/images/fct_pics/G199.png
G200,"Sardine, Indian, dried","Tamban, tuyo",34.9,215,43,4.8,0,17.3,https://i.fnri.dost.gov.ph/assets/images/fct_pics/G2001.png
G201,"Sardine, Indian, smoked","Tamban, tinapa",61.4,160,30,4.4,0,0,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaaaa40.jpg
G202,"Sardines, in spiced oil, cnd","Sardinas, Spanish style, de lata",39.5,438,19.8,39.9,0,3.4,https://i.fnri.dost.gov.ph/assets/images/fct_pics/G202_copy1.png
G203,"Sardines, in tomato sce, cnd","Sardinas, sa tomato sce, de lata",80.4,88,9.7,4.3,2.7,2.9,https://i.fnri.dost.gov.ph/assets/images/fct_pics/G203_copy1.png
G204,"Sardines, smoked, cnd","Sardinas, tinapa, de lata",61.4,157,29,4.2,0.8,4.6,https://i.fnri.dost.gov.ph/assets/images/fct_pics/G204.png
G205,"Scad, big-eye, dried","Matang baka, daing",40.8,175,39.8,1.7,0,17.7,https://i.fnri.dost.gov.ph/assets/images/fct_pics/G205.png
G206,"Scad, big-eye, smoked","Matang baka, tinapa",64.7,134,25.5,3.6,0,6.2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaaaa41.jpg
G207,"Scad, round, dried","Galunggong, daing",38.8,199,41.1,3.8,0,16.3,https://i.fnri.dost.gov.ph/assets/images/fct_pics/G207.png
G208,"Scad, round, smoked","Galunggong, tinapa",57.7,158,31.6,3.5,3.5,5.3,https://i.fnri.dost.gov.ph/assets/images/fct_pics/G2081.png
G209,"Sea bass, dried","Apahap, daing",41.9,244,44,7.6,0,6.4,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaaaa42.jpg
G210,"Shrimp, freshwater (small), dried","Tagunton, tuyo",15.4,246,23.1,2.3,33.2,26,https://i.fnri.dost.gov.ph/assets/images/fct_pics/G210.png
G211,"Shrimp, sergestid, dried","Alamang, tuyo",21.6,283,52.4,3.6,10.2,12.2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/G211.png
G212,"Shrimp, small marine, dried",Hibe,25,263,57.4,2.2,3.4,12,https://i.fnri.dost.gov.ph/assets/images/fct_pics/G212web.jpg
G213,"Siganid, javan, dried","Samaral, daing",47.3,184,42.5,1.6,0,8.6,https://i.fnri.dost.gov.ph/assets/images/fct_pics/G213.png
G215,"Slipmouth, common, dried","Sapsap, daing",44.7,185,36,4.5,0,14.8,https://i.fnri.dost.gov.ph/assets/images/fct_pics/G215.png
G216,"Slipmouth, common, dried","Sapsap, tuyo",37.1,214,42.8,4.7,0,15.4,https://i.fnri.dost.gov.ph/assets/images/fct_pics/G216web.jpg
G217,"Squid, dried","Pusit, tuyo",28.1,289,62.3,4.4,0,5.2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/G2171.png
G218,"Sting ray, honeycomb, dried","Paging, bulik, daing",34.2,209,49,0.9,1.3,14.6,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaaaa43.jpg
G219,"Surgeonfish, blue-lined, dried","Labahita, daing",42.1,186,186,5.2,0,17.5,https://i.fnri.dost.gov.ph/assets/images/fct_pics/G219web.jpg
G220,"Swordfish, dried","Malasugi, daing",42.8,250,53.5,4,0,10.4,https://i.fnri.dost.gov.ph/assets/images/fct_pics/G220.png
G221,"Theraponid, silvery, dried","Ayungin, tuyo",11.5,340,54.6,13.5,0,20.4,https://i.fnri.dost.gov.ph/assets/images/fct_pics/G221.png
G222,"Tilapia, dried",N/A,16.1,313,60.6,7.8,0,19.1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/G222.png
G223,"Tuna adobo, cnd",N/A,71.9,140,14,7.6,4,2.5,https://i.fnri.dost.gov.ph/assets/images/fct_pics/G2231.png
G224,"Tuna fillet, in soya oil, cnd",N/A,47.6,309,28.6,21.6,0,2.2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/G224.png
G225,"Tuna fillet, in veg oil, cnd",N/A,53.1,258,28,15.9,0.6,2.4,https://i.fnri.dost.gov.ph/assets/images/fct_pics/G225web.jpg
G226,"Tuna flakes, in brine, cnd",N/A,77.5,95,17.9,2.6,0.1,1.9,https://i.fnri.dost.gov.ph/assets/images/fct_pics/G2261.png
G227,"Tuna flakes, in veg oil, cnd",N/A,54.3,309,15.4,26.7,1.7,1.9,https://i.fnri.dost.gov.ph/assets/images/fct_pics/G2271.png
G228,"Tuna mechado, cnd",N/A,74.3,121,11.1,5.7,6.3,2.6,https://i.fnri.dost.gov.ph/assets/images/fct_pics/G2281.png
G229,"Tuna sardines, in oil, cnd",N/A,67.6,183,16.4,12.5,12.5,2.2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/G229.png
G230,"Tuna spread, cnd",N/A,47.3,331,25.2,25.6,0,1.9,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaaaa44.jpg
G231,"Tuna, frigate, dried","Tulingan, daing",27.8,251,52.7,2.4,4.7,12.4,https://i.fnri.dost.gov.ph/assets/images/fct_pics/G231.png
G232,"Tuna, yellow-fin, dried","Tambakol, daing",29.4,230,54.5,1.3,0,13.2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaaaa45.jpg
H001,"Egg, ant","Itlog, langgam",71,124,17.4,3.8,5,2.8,https://i.fnri.dost.gov.ph/assets/images/fct_pics/H001web.jpg
H002,"Egg, chicken, white","Itlog, manok, puti",84.6,61,12.7,0.2,2,0.5,https://i.fnri.dost.gov.ph/assets/images/fct_pics/H002web.jpg
H003,"Egg, chicken, whole","Itlog, manok, buo",76,139,12.3,9.4,1.4,0.9,https://i.fnri.dost.gov.ph/assets/images/fct_pics/H003web.jpg
H004,"Egg, chicken, whole, boiled","Itlog, manok, buo, nilaga",72.4,166,14,12,12,1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/H004web.jpg
H005,"Egg, chicken, yolk","Itlog, manok, pula",53.4,316,14.3,27,3.9,1.4,https://i.fnri.dost.gov.ph/assets/images/fct_pics/H005web.jpg
H006,"Egg, duck, white","Itlog, pato, puti",85.5,56,13.8,0.1,0,0.6,https://i.fnri.dost.gov.ph/assets/images/fct_pics/H0061.png
H007,"Egg, duck, whole","Itlog, pato, buo",70.6,177,11.7,12.6,4.1,1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/H0071.png
H008,"Egg, duck, yolk","Itlog, pato, pula",48,357,16.4,31,3.1,1.5,https://i.fnri.dost.gov.ph/assets/images/fct_pics/H0081.png
H010,"Egg, quail","Itlog, pugo",73.9,153,11.8,10.6,2.7,1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/H010web.jpg
H011,"Egg, quail, boiled","Itlog, pugo, nilaga",74.6,150,11.8,10.4,2.2,1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/H011web.jpg
H015,"Egg, duck, century",Century egg/Pidan,58.8,215,12.5,11.6,15.1,2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/H015web.jpg
H016,"Egg, duck, fertilized, boiled","Balut, nilaga",71.5,172,12.8,12.4,2.2,1.1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/H016web.jpg
H017,"Egg, duck, fertilized, embryo","Balut, sisiw",86,55,9.6,0.7,2.6,1.1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/H017web.jpg
H018,"Egg, duck, fertilized, white","Balut, bato",65.7,137,25.4,0.6,7.6,0.7,https://i.fnri.dost.gov.ph/assets/images/fct_pics/H0181.png
H019,"Egg, duck, fertilized, yolk","Balut, pula",49.4,352,14.8,31.2,2.9,1.7,https://i.fnri.dost.gov.ph/assets/images/fct_pics/H019web.jpg
H020,"Egg, duck, infertile, boiled","Penoy, nilaga",67.5,198,13.6,14.4,3.5,1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/H020online.jpg
H021,"Egg, duck, whole, salted","Itlog, pato, maalat",66.5,192,13.6,13.3,4.4,2.2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/H021web.jpg
H022,"Egg, quail, pickled","Itlog, pugo, pickled",80.5,102,8.1,6.9,1.8,2.7,https://i.fnri.dost.gov.ph/assets/images/fct_pics/H022.png
H023,"Egg mass, sea hare",Lukot,95.5,17,2.4,0.2,1.3,0.6,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaaaa82.jpg
J001,"Cheese, cheddar, pasteurized, processed",N/A,41.7,322,21.7,22.7,7.8,6.1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/J001web.jpg
J002,"Cheese, cottage",N/A,78.6,94,13.2,3,3.6,1.6,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaaaaa27.jpg
J003,"Cheese, filled",N/A,49.6,297,16.2,23.4,5.5,5.3,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaaaa47.jpg
J004,"Cheese, native",Kesong puti,52,299,13.2,25,5.3,4.5,https://i.fnri.dost.gov.ph/assets/images/fct_pics/J0041.png
J005,"Cheese, pimiento",N/A,40,354,19.9,27.9,5.8,6.4,https://i.fnri.dost.gov.ph/assets/images/fct_pics/J0051.png
J006,"Cheese, spread",N/A,69,210,14,11,13.7,6.1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/J0061.png
J007,Cream,Krema,69,241,2.3,23.9,4.2,0.6,https://i.fnri.dost.gov.ph/assets/images/fct_pics/J007web.jpg
J008,Ice cream,Sorbetes/Street ice cream,71.5,157,4.2,9.5,13.7,1.1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaaaa48.jpg
J009,"Ice cream, strawberry flvr","Sorbetes, lasang strawberry",67.2,183,3.4,10.9,17.7,0.8,https://i.fnri.dost.gov.ph/assets/images/fct_pics/J0091.png
J010,"Milk drink, cultured",N/A,82.4,71,1.2,0.2,16,0.2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/J010_(2).png
J011,"Milk drink, recon, strawberry, UHT",N/A,84.5,66,2.9,1.2,10.8,0.6,https://i.fnri.dost.gov.ph/assets/images/fct_pics/J011.png
J012,"Milk, buttermilk","Gatas, buttermilk",89.1,43,3.5,0.5,6.2,0.7,https://i.fnri.dost.gov.ph/assets/images/fct_pics/To_be_supplied_Photo_copy3.jpg
J013,"Milk, carabao","Gatas, kalabaw",80,124,5.4,9.5,4.3,0.8,https://i.fnri.dost.gov.ph/assets/images/fct_pics/J013web.jpg
J014,"Milk, cow","Gatas, baka",87.5,65,3.3,3.6,4.8,0.8,https://i.fnri.dost.gov.ph/assets/images/fct_pics/J014web.jpg
J015,"Milk, evaporated","Gatas, evaporada",71.3,148,7.7,7.8,11.7,1.5,https://i.fnri.dost.gov.ph/assets/images/fct_pics/J015web.jpg
J016,"Milk, evaporated, filled","Gatas, evaporada, filled",74.2,120,7.6,4.8,11.6,1.8,https://i.fnri.dost.gov.ph/assets/images/fct_pics/J016web.jpg
J017,"Milk, goat","Gatas, kambing",86.2,73,3.6,4.1,5.3,0.8,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaaaa49.jpg
J018,"Milk, human",Gatas ng ina/Breast milk,87.3,68,1.4,3.5,7.6,0.2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/J018online2.jpg
J019,"Milk, pwdr, filled, inst","Gatas, pulbos, filled, inst",2.2,508,26.2,28,37.8,5.8,https://i.fnri.dost.gov.ph/assets/images/fct_pics/J019web.jpg
J020,"Milk, pwdr, full cream","Gatas, pulbos, full cream",2.8,480,24.1,22.5,45.2,5.4,https://i.fnri.dost.gov.ph/assets/images/fct_pics/j020online.jpg
J021,"Milk, pwdr, infant formula","Gatas, pulbos, infant formula",2.4,389,18.3,3,72.2,4.1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/J0211.png
J022,"Milk, pwdr, non-fat, inst","Gatas, pulbos, non-fat, inst",3.6,361,34.9,1,53.1,7.4,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaaaaa29.jpg
J023,"Milk, pwdr, skim","Gatas, pulbos, skim",2.4,362,40.8,0.8,48,8,https://i.fnri.dost.gov.ph/assets/images/fct_pics/J023.png
J024,"Milk, recombined","Gatas, recombined",83.8,87,5.2,5.5,4.2,1.3,https://i.fnri.dost.gov.ph/assets/images/fct_pics/J024.png
J025,"Milk, sweetn, cond, filled","Gatas, kondensada, filled",23.4,334,8.5,7,59.3,1.8,https://i.fnri.dost.gov.ph/assets/images/fct_pics/J025web.jpg
J026,Yoghurt,N/A,83.6,83,5.3,4.5,5.4,1.2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/J026web.jpg
K001,Butter,Mantekilya,16,772,0.5,85.5,0,1.5,https://i.fnri.dost.gov.ph/assets/images/fct_pics/K001web.jpg
K002,Coconut milk,"Niyog, gata",56.9,343,5.5,34.8,1.9,0.9,https://i.fnri.dost.gov.ph/assets/images/fct_pics/K002web.jpg
K003,"Fat, pork","Mantika, baboy",0,900,0,100,0,0,https://i.fnri.dost.gov.ph/assets/images/fct_pics/K0031.png
K004,Margarine,Margarina,10.9,831,0.3,91.9,0.5,1.4,https://i.fnri.dost.gov.ph/assets/images/fct_pics/K0041.png
K006,"Margarine, fortified",N/A,8.6,818,0.1,90.8,0,3.3,https://i.fnri.dost.gov.ph/assets/images/fct_pics/K0061.png
K007,Mayonnaise,N/A,17.7,715,1.2,78.3,1.4,1.4,https://i.fnri.dost.gov.ph/assets/images/fct_pics/K007web.jpg
K008,"Oil, coconut","Langis, niyog",0,892,0,99.1,0,0.1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/K008web.jpg
K009,"Oil, corn","Langis, mais",0.4,896,0,99.6,0,0,https://i.fnri.dost.gov.ph/assets/images/fct_pics/K009web.jpg
K010,"Oil, fish","Aseyte/aceite, isda",0,900,0,100,0,0,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaaaa50.jpg
K011,Sandwich spread,N/A,42.9,366,0.7,29.4,24.7,2.3,https://i.fnri.dost.gov.ph/assets/images/fct_pics/K011web.jpg
M001,"Breadfruit, candied","Rimas, candied",15.1,341,0.6,0.5,83.4,0.4,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaaaa52.jpg
M002,"Candy bar, peanut",Matamis na mani,2.3,535,20.3,29.9,46.1,1.4,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaaaaa33.jpg
M003,"Candy bar, pili nut",Matamis na pili/Mazapan de pili,2.3,537,5.7,30.1,60.7,1.2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaaaa53.jpg
M004,"Candy, custard",Yema,4.3,381,4.1,1.6,87.6,2.4,https://i.fnri.dost.gov.ph/assets/images/fct_pics/M004web.jpg
M005,"Candy, hard",N/A,1.9,401,0.1,1.8,96,0.2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/M0051.png
M006,"Candy, milk choc",N/A,1.4,518,9.8,26.4,60.2,2.2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/M006v2.png
M007,"Candy, pili nut",N/A,1.3,639,7.5,52.7,33.6,4.9,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaaaa54.jpg
M008,"Candy, pulled",Tira-tira,3.4,386,0.6,0.2,95.4,0.4,https://i.fnri.dost.gov.ph/assets/images/fct_pics/M008.png
M009,"Candy, toffee",N/A,7.9,367,2.2,0.3,88.8,0.8,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaaaa55.jpg
M010,"Carageenan gel, assorted fruit-flvr","Gulaman, may lasang prutas",71,121,0,1.2,27.5,0.3,https://i.fnri.dost.gov.ph/assets/images/fct_pics/M010.png
M011,Caramelo,N/A,0.4,398,0,0,99.5,0.1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/M0111.png
M012,Champoy,N/A,1.4,390,0.3,0.8,95.5,2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/M012web.jpg
M013,"Chocolate, tablea",N/A,0.9,481,4.3,18.2,75.1,1.5,https://i.fnri.dost.gov.ph/assets/images/fct_pics/M013web.jpg
M014,Coco jam,Matamis na bao,7.6,377,1,1.8,89.2,0.4,https://i.fnri.dost.gov.ph/assets/images/fct_pics/M014.png
M015,"Coconut meat, grated, sweetn",Bukayo,1.6,399,2.2,2.1,92.8,1.3,https://i.fnri.dost.gov.ph/assets/images/fct_pics/M015web.jpg
M016,Creme custard,Leche flan,47.4,228,5.9,4.3,41.4,1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/M016web.jpg
M017,"Fudge, durian","Pastilyas, durian",7.4,358,13.5,0.2,75.5,3.4,https://i.fnri.dost.gov.ph/assets/images/fct_pics/M017web.jpg
M018,"Fudge, jackfruit","Pastilyas, langka",8.9,358,8.9,0.3,79.9,2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/M0181.png
M019,"Fudge, milk","Pastilyas, gatas",7.4,370,9.9,1.4,79.5,1.8,https://i.fnri.dost.gov.ph/assets/images/fct_pics/M019web.jpg
M020,"Fudge, yam","Pastilyas, ube",12.6,349,8,1.5,75.9,2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/M020web.jpg
M021,Honey,Pulot-pukyutan,35.6,258,0.1,0.1,64.1,0.1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/M021web.jpg
M022,Ice candy,N/A,83.3,66,0,0,16.5,0.2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/M022.png
M023,Ice drop,N/A,79.5,82,0.6,0.2,19.5,0.2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaaaa56.jpg
M024,"Jam, jackfruit & pineapple, cnd",N/A,50.2,198,0.7,0.1,48.6,0.4,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaaaa57.jpg
M025,"Jam, mango, cnd",N/A,27.8,287,0.9,0.2,70.5,0.6,https://i.fnri.dost.gov.ph/assets/images/fct_pics/M025web.jpg
M026,"Jam, pineapple",N/A,26.7,298,0.2,1.1,71.7,0.3,https://i.fnri.dost.gov.ph/assets/images/fct_pics/M026web.jpg
M027,"Jam, yam","Halaya, ubi",24.4,296,7.1,0.4,66.1,2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/M027web.jpg
M028,"Jelly, guava",N/A,14.5,345,0,0.8,84.5,0.2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/M028web.jpg
M030,"Jelly, pineapple",N/A,23.2,310,0.1,0.7,75.9,0.1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaaaa58.jpg
M031,"Jelly, strawberry",N/A,37.4,255,0.1,1,61.4,0.1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/M031.png
M032,Masareal,Mazareal,4.7,484,13.9,21.2,59.4,0.8,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaaaa59.jpg
M033,Marshmallow,N/A,20.8,317,3,0.3,75.6,0.3,https://i.fnri.dost.gov.ph/assets/images/fct_pics/M033web.jpg
M034,"Milk choc bar, orange crunch",N/A,0.9,535,2.7,28.7,66.5,1.2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaaaa60.jpg
M035,"Nata de coco, sweetn",N/A,63.7,146,0,0.2,36.1,0,https://i.fnri.dost.gov.ph/assets/images/fct_pics/M035web.jpg
M036,"Nata de piña, sweetn",N/A,55.1,181,0.1,0.2,44.6,0,https://i.fnri.dost.gov.ph/assets/images/fct_pics/M0361.png
M037,Peanut brittle,N/A,5.3,493,15,24.2,53.9,1.6,https://i.fnri.dost.gov.ph/assets/images/fct_pics/M037web.jpg
M038,Peanut brittle w/ sesame seed,N/A,2.6,522,14,27.6,54.4,1.4,https://i.fnri.dost.gov.ph/assets/images/fct_pics/M038.png
M039,"Peanut, milk choc-coated","Mani, binalot sa tsokolate gatas",2.8,506,13.8,25.2,56,2.2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/M0391.png
M040,Polvoron,N/A,2.7,469,6.8,16.4,73.6,0.5,https://i.fnri.dost.gov.ph/assets/images/fct_pics/M040web.jpg
M041,"Popsicle, choc flvr",N/A,79.6,83,0.8,0.5,18.8,0.3,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaaaa61.jpg
M042,"Sugar, brown","Asukal, pula",0.7,398,0.1,0.3,98.7,0.2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/M042web.jpg
M043,"Sugar, crude, pakaskas",Pakaskas,10.6,346,2.2,0.2,83.9,3.1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaaaa62.jpg
M044,"Sugar, crude, panocha",Panocha,5.9,376,0.2,0.4,92.8,0.7,https://i.fnri.dost.gov.ph/assets/images/fct_pics/M0441.png
M045,"Sugar, pwdr","Asukal, pulbos/Confectioner's sugar",0,400,0,0,100,0,https://i.fnri.dost.gov.ph/assets/images/fct_pics/M045.png
M046,"Sugar, white, refined","Asukal, puti, refinado",0.1,400,0,0,99.9,0,https://i.fnri.dost.gov.ph/assets/images/fct_pics/M0461.png
M047,Syrup,Arnibal,22.6,308,0,0.1,76.8,0.5,https://i.fnri.dost.gov.ph/assets/images/fct_pics/ifct.jpg
M048,"Syrup, molasses, cane",Pulot,29.6,260,1.8,0.4,62.4,5.8,https://i.fnri.dost.gov.ph/assets/images/fct_pics/M048.png
M049,"Tamarind, candied","Sampalok, candied",16.7,335,0.4,0.7,81.7,0.5,https://i.fnri.dost.gov.ph/assets/images/fct_pics/M049web.jpg
M050,"Wax gourd, candied","Kundol, candied",18.3,327,0.2,0.1,81.2,0.2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/M050web.jpg
M051,"Sugar, coconut sap",Coco sugar,1.7,385,1.2,0.1,94.8,2.2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/M051_copy1.png
M052,"Syrup, coconut sap",Coco syrup,18.1,321,1,0.1,79.1,1.7,https://i.fnri.dost.gov.ph/assets/images/fct_pics/M052_copy1.png
N001,"Bilimbi, dried","Kamyas, tuyo",7.7,401,11.4,9,68.5,3.4,https://i.fnri.dost.gov.ph/assets/images/fct_pics/N001web.jpg
N002,"Bouillon cube, beef",Beef cube,2.7,284,10.4,21.2,13,52.7,https://i.fnri.dost.gov.ph/assets/images/fct_pics/N002web.jpg
N003,"Bouillon cube, chicken",Chicken cube,4.1,306,15.3,22.3,11,47.3,https://i.fnri.dost.gov.ph/assets/images/fct_pics/N003web.jpg
N004,"Catsup, banana",N/A,42.1,221,0.7,0.2,54,3,https://i.fnri.dost.gov.ph/assets/images/fct_pics/N004web.jpg
N005,"Catsup, tomato",N/A,65,131,1.6,0.6,29.9,3,https://i.fnri.dost.gov.ph/assets/images/fct_pics/N005web.jpg
N006,"Clam paste, ginamos","Bagoong tulya, ginamos",69,69,7.5,0.4,8.9,14.2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaaaa63.jpg
N007,"Fish paste, anchovy",Bagoong dilis,47.2,133,10,2.5,17.5,22.8,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaaaa64.jpg
N008,"Fish paste, balatohan",Bagoong balatohan,30.8,162,8.1,3.2,25.1,32.8,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaaaa65.jpg
N009,"Fish paste, ginamos","Bagoong isda, ginamos",55.4,110,23.4,1.8,0,19.4,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaaaa66.jpg
N010,"Fish paste, siganid fry",Bagoong padas,65.9,54,9.6,1.7,0,22.8,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaaaa67.jpg
N011,Fish sauce,Patis,66.3,49,10.6,0.3,0.9,21.9,https://i.fnri.dost.gov.ph/assets/images/fct_pics/N011web.jpg
N013,Lechon sauce,Litson sarsa,68.7,118,1.2,0.3,27.6,2.2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/N013web.jpg
N014,Lemon grass lvs,Tanglad dahon,72.2,111,1.4,1.4,23.1,1.9,https://i.fnri.dost.gov.ph/assets/images/fct_pics/N014online.jpg
N015,"Lemon grass lvs, boiled","Tanglad dahon, nilaga",85.8,57,0.3,0.3,13.2,0.4,https://i.fnri.dost.gov.ph/assets/images/fct_pics/N015web.jpg
N016,"Banana, flowers, dried","Saging bulaklak, tuyo",14.9,329,9.6,1.3,69.6,4.6,https://i.fnri.dost.gov.ph/assets/images/fct_pics/N016.png
N017,Oyster paste,Bagoong talaba/Sise,73.5,54,3.7,1.8,5.8,15.2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaaaa68.jpg
N018,"Safflower, flowers, dried","Kasubha bulaklak, tuyo",13.8,340,16.2,4.3,59,6.7,https://i.fnri.dost.gov.ph/assets/images/fct_pics/N018v2.png
N019,"Salt, coarse","Asin, magaspang",14,0,0,0,0,85.6,https://i.fnri.dost.gov.ph/assets/images/fct_pics/N0191.png
N020,Shrimp paste,Bagoong hipon,66.4,68,12.5,1.9,0.1,19.1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaaaa69.jpg
N021,"Shrimp paste, alamang","Bagoong hipon, alamang",66.4,61,12.4,1,0.6,19.6,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaaaaa34.jpg
N022,"Shrimp paste, bastos","Bagoong hipon, bastos",64.1,57,12,0.8,0.4,22.7,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaaaa70.jpg
N023,Soy sauce,Toyo,64.9,75,3.5,0.1,15,16.5,https://i.fnri.dost.gov.ph/assets/images/fct_pics/N023web.jpg
N024,Tomato paste,N/A,70,112,4.3,0.1,23.4,2.2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/N024web.jpg
N025,Tomato sauce,N/A,87.9,45,0.9,0.2,10,1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/N025web.jpg
N027,"Vinegar, coconut","Suka, niyog",98.2,7,0,0.1,1.4,0.3,https://i.fnri.dost.gov.ph/assets/images/fct_pics/N027.png
N028,"Vinegar, palm","Suka, sasa",97,11,0.2,0,2.6,0.2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/N028.png
N029,"Vinegar, pineapple","Suka, pinya",98.3,7,0.1,0.1,1.3,0.2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaaaa71.jpg
N030,Worcestershire sauce,N/A,85.8,31,0.7,0.3,6.3,6.9,https://i.fnri.dost.gov.ph/assets/images/fct_pics/N030web.jpg
N031,"Shrimp paste, sauteed","Bagoong alamang, ginisa",32.6,401,10.2,32.1,17.7,7.4,https://i.fnri.dost.gov.ph/assets/images/fct_pics/N0311.png
P001,"Beer, lager type",Serbesa,96,16,0.3,0,3.6,0.2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/P001web.jpg
P002,"Palm sap, fermented",Tuba,91.3,35,0.2,0.3,7.9,0.3,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaaaa72.jpg
P003,Rum,N/A,99.8,1,0,0,0.2,0,https://i.fnri.dost.gov.ph/assets/images/fct_pics/P0031.png
P004,"Sugarcane, fermented",Basi,94.6,21,0,0.1,5,0.3,https://i.fnri.dost.gov.ph/assets/images/fct_pics/P004web.jpg
